position_latitude,position_longitude,date,year,month
70.36666666666666,31.183333333333334,1987-06-11,1987,6
70.36666666666666,31.183333333333334,1987-06-11,1987,6
57.11666666666667,8.6,1987-06-02,1987,6
57.11666666666667,8.6,1987-06-02,1987,6
70.601,21.033333333333335,1987-05-30,1987,5
70.601,21.033333333333335,1987-05-30,1987,5
60.21,5.575,1987-04-28,1987,4
60.21,5.575,1987-04-28,1987,4
58.96666666666667,5.733333333333333,1987-04-25,1987,4
58.96666666666667,5.733333333333333,1987-04-25,1987,4
51.93333333333333,4.166666666666667,1987-04-14,1987,4
51.93333333333333,4.166666666666667,1987-04-14,1987,4
67.43333333333334,13.483333333333333,1987-04-13,1987,4
71.0,23.883333333333333,1987-04-06,1987,4
59.08166666666666,10.458333333333334,1987-04-02,1987,4
62.96333333333333,-6.133333333333334,1987-04-02,1987,4
59.08166666666666,10.458333333333334,1987-04-02,1987,4
62.96333333333333,-6.133333333333334,1987-04-02,1987,4
78.124,14.432333333333334,1987-03-15,1987,3
78.124,14.432333333333334,1987-03-15,1987,3
78.3,15.433333333333334,1987-03-06,1987,3
78.3,15.433333333333334,1987-03-06,1987,3
69.22833333333334,17.95,1987-02-20,1987,2
59.51166666666666,10.583333333333334,1987-02-02,1987,2
59.51166666666666,10.583333333333334,1987-02-02,1987,2
59.75,10.166666666666666,1987-01-27,1987,1
59.75,10.166666666666666,1987-01-27,1987,1
59.75,10.166666666666666,1987-01-22,1987,1
55.3,11.033333333333333,1987-01-21,1987,1
55.3,11.033333333333333,1987-01-21,1987,1
59.425,10.651665,1987-01-10,1987,1
59.425,10.651665,1987-01-10,1987,1
59.07266666666667,3.6061666666666667,1986-12-10,1986,12
80.51666666666667,15.65,1986-12-10,1986,12
59.07266666666667,3.6061666666666667,1986-12-10,1986,12
80.51666666666667,15.65,1986-12-10,1986,12
62.24166666666667,5.066666666666666,1986-11-25,1986,11
62.24166666666667,5.066666666666666,1986-11-25,1986,11
69.97833333333334,29.895,1986-11-18,1986,11
70.7,29.916666666666668,1986-11-13,1986,11
59.416666666666664,5.266666666666667,1986-11-12,1986,11
68.16666666666667,14.583333333333334,1986-10-15,1986,10
61.59166666666667,4.95,1986-09-28,1986,9
61.59166666666667,4.95,1986-09-28,1986,9
70.05333333333333,20.816666666666666,1986-09-25,1986,9
70.05333333333333,20.816666666666666,1986-09-25,1986,9
70.97666666666667,25.958333333333332,1986-09-13,1986,9
70.97666666666667,25.958333333333332,1986-09-13,1986,9
63.11666666666667,7.75,1986-09-04,1986,9
56.333333333333336,8.016666666666667,1986-08-26,1986,8
56.333333333333336,8.016666666666667,1986-08-26,1986,8
68.73333333333333,16.766666666666666,1986-08-01,1986,8
68.73333333333333,16.766666666666666,1986-08-01,1986,8
53.86666666666667,9.433333333333334,1986-07-27,1986,7
53.86666666666667,9.433333333333334,1986-07-27,1986,7
63.013333333333335,7.85,1986-07-26,1986,7
52.0,4.0,1986-07-15,1986,7
52.0,4.0,1986-07-15,1986,7
25.766666666666666,-80.18333333333334,1986-07-12,1986,7
25.766666666666666,-80.18333333333334,1986-07-12,1986,7
57.63333333333333,6.833333333333333,1986-07-01,1986,7
57.63333333333333,6.833333333333333,1986-07-01,1986,7
57.724665,10.81433,1986-06-27,1986,6
57.724665,10.81433,1986-06-27,1986,6
59.42166666666667,5.235,1986-06-26,1986,6
59.42166666666667,5.235,1986-06-26,1986,6
62.76166666666666,6.965,1986-06-24,1986,6
62.76166666666666,6.965,1986-06-24,1986,6
57.3,4.516666666666667,1986-06-12,1986,6
57.3,4.516666666666667,1986-06-12,1986,6
58.766666666666666,5.333333333333333,1986-06-06,1986,6
58.766666666666666,5.333333333333333,1986-06-06,1986,6
60.8,4.283333333333333,1986-05-29,1986,5
60.8,4.283333333333333,1986-05-29,1986,5
57.11666666666667,8.6,1986-05-23,1986,5
57.11666666666667,8.6,1986-05-23,1986,5
59.736666666666665,5.941666666666666,1986-05-08,1986,5
60.08833333333333,5.696666666666666,1986-05-07,1986,5
60.08833333333333,5.696666666666666,1986-05-07,1986,5
70.88333333333334,29.35,1986-05-01,1986,5
70.88333333333334,29.35,1986-05-01,1986,5
37.81666666666667,-122.4,1986-04-27,1986,4
37.81666666666667,-122.4,1986-04-27,1986,4
68.49333333333334,14.053333333333333,1986-04-11,1986,4
68.49333333333334,14.053333333333333,1986-04-11,1986,4
70.66666666666667,23.666666666666668,1986-04-09,1986,4
70.66666666666667,23.666666666666668,1986-04-09,1986,4
60.516666666666666,3.0,1986-03-31,1986,3
60.516666666666666,3.0,1986-03-31,1986,3
67.9,13.041666666666666,1986-03-29,1986,3
67.9,13.041666666666666,1986-03-29,1986,3
68.055,13.573333333333334,1986-03-19,1986,3
68.055,13.573333333333334,1986-03-19,1986,3
